window,threshold,n_trades,trades_per_day,win_rate,total_pnl,final_bankroll,max_drawdown,avg_computed_edge,avg_realized_edge,n_city_days_skipped
early,null,90,1.836734693877551,0.35555555555555557,53.02,138.0,-9.7,0.11278061435420626,0.11782222222222222,0
middle,null,85,1.7346938775510203,0.29411764705882354,39.89,124.87,-7.3,0.11377252920077574,0.09385882352941179,0
late,null,96,1.9591836734693877,0.21875,15.6,100.58,-20.445,0.09985068695720785,0.032499999999999994,0
early,0.6,90,1.836734693877551,0.35555555555555557,53.02,138.0,-9.7,0.11278061435420626,0.11782222222222222,0
middle,0.6,85,1.7346938775510203,0.29411764705882354,39.89,124.87,-7.3,0.11377252920077574,0.09385882352941179,0
late,0.6,84,1.7142857142857142,0.2261904761904762,16.585,101.565,-22.98,0.09832827940665527,0.03948809523809523,43
early,0.5,90,1.836734693877551,0.35555555555555557,53.02,138.0,-9.7,0.11278061435420626,0.11782222222222222,0
middle,0.5,85,1.7346938775510203,0.29411764705882354,39.89,124.87,-7.3,0.11377252920077574,0.09385882352941179,0
late,0.5,82,1.6734693877551021,0.23170731707317074,18.365,103.345,-21.2,0.09998270219777461,0.04479268292682926,47
early,0.4,90,1.836734693877551,0.35555555555555557,53.02,138.0,-9.7,0.11278061435420626,0.11782222222222222,0
middle,0.4,85,1.7346938775510203,0.29411764705882354,39.89,124.87,-7.3,0.11377252920077574,0.09385882352941179,0
late,0.4,82,1.6734693877551021,0.23170731707317074,18.815,103.795,-21.2,0.09949288029360936,0.04589024390243901,53
