lambda,n_trades,mean_p_eff,win_rate,calibration_gap,trades_per_day,window,start_date,end_date
0.2,44,0.26977284653072997,0.3181818181818182,-0.048408971651088206,0.8979591836734694,early,2026-02-03,2026-03-23
0.25,62,0.2757341867344276,0.2903225806451613,-0.014588393910733688,1.2653061224489797,early,2026-02-03,2026-03-23
0.3,69,0.28623398905515757,0.3188405797101449,-0.03260659065498733,1.4081632653061225,early,2026-02-03,2026-03-23
0.35,76,0.2937356025175303,0.3026315789473684,-0.008895976429838137,1.5510204081632653,early,2026-02-03,2026-03-23
0.4,80,0.3014772339399078,0.2875,0.013977233939907796,1.6326530612244898,early,2026-02-03,2026-03-23
0.45,83,0.31439585175448304,0.2891566265060241,0.025239225248458952,1.6938775510204083,early,2026-02-03,2026-03-23
0.5,87,0.3266398015877853,0.2988505747126437,0.02778922687514157,1.7755102040816326,early,2026-02-03,2026-03-23
0.55,88,0.33626691099443046,0.29545454545454547,0.04081236553988499,1.7959183673469388,early,2026-02-03,2026-03-23
0.6,89,0.3475177899642153,0.30337078651685395,0.04414700344736133,1.816326530612245,early,2026-02-03,2026-03-23
0.2,44,0.22433332383690174,0.22727272727272727,-0.0029394034358255217,0.8979591836734694,middle,2026-03-18,2026-05-08
0.25,62,0.2289595776147843,0.22580645161290322,0.0031531260018810847,1.2653061224489797,middle,2026-03-18,2026-05-08
0.3,68,0.24397577640026935,0.23529411764705882,0.00868165875321053,1.3877551020408163,middle,2026-03-18,2026-05-08
0.35,74,0.2573833465283112,0.24324324324324326,0.014140103285067929,1.510204081632653,middle,2026-03-18,2026-05-08
0.4,77,0.2699120088500592,0.24675324675324675,0.023158762096812474,1.5714285714285714,middle,2026-03-18,2026-05-08
0.45,81,0.28139494070649146,0.24691358024691357,0.03448136045957789,1.653061224489796,middle,2026-03-18,2026-05-08
0.5,82,0.29199152065534356,0.24390243902439024,0.04808908163095332,1.6734693877551021,middle,2026-03-18,2026-05-08
0.55,85,0.2993628630182296,0.24705882352941178,0.052304039488817844,1.7346938775510203,middle,2026-03-18,2026-05-08
0.6,85,0.30920012864020757,0.24705882352941178,0.0621413051107958,1.7346938775510203,middle,2026-03-18,2026-05-08
0.2,27,0.21884688393924456,0.07407407407407407,0.1447728098651705,0.5510204081632653,late,2026-05-04,2026-06-24
0.25,53,0.221668490597161,0.16981132075471697,0.05185716984244404,1.0816326530612246,late,2026-05-04,2026-06-24
0.3,66,0.2292050958428614,0.18181818181818182,0.047386914024679566,1.346938775510204,late,2026-05-04,2026-06-24
0.35,80,0.2431688569481091,0.2375,0.005668856948109119,1.6326530612244898,late,2026-05-04,2026-06-24
0.4,87,0.25112380742656565,0.22988505747126436,0.021238749955301284,1.7755102040816326,late,2026-05-04,2026-06-24
0.45,92,0.26232408801037366,0.25,0.012324088010373657,1.8775510204081634,late,2026-05-04,2026-06-24
0.5,93,0.2711283682607542,0.24731182795698925,0.023816540303764955,1.8979591836734695,late,2026-05-04,2026-06-24
0.55,93,0.27958851691478664,0.24731182795698925,0.032276688957797395,1.8979591836734695,late,2026-05-04,2026-06-24
0.6,93,0.28804866556881903,0.24731182795698925,0.04073683761182978,1.8979591836734695,late,2026-05-04,2026-06-24
