variant,window,n_trades,trades_per_day,win_rate,mean_computed_edge,mean_realized_edge,cal_gap,total_pnl,final_bankroll,min_bankroll,max_drawdown,n_budget_dropped,n_convective_skipped,n_fallback_trades,fallback_win_rate,fallback_mean_realized_edge,primary_mean_realized_edge
D0,early,73,1.489795918367347,0.3698630136986301,0.07375916985409245,0.1449178082191781,-0.07115863836508565,52.895,137.875,84.98,-7.95,0,0,,,,
D0,middle,71,1.4489795918367347,0.36619718309859156,0.06768386605945148,0.15018309859154927,-0.08249923253209779,53.315,138.295,83.23,-4.85,2,0,,,,
D0,late,57,1.163265306122449,0.21052631578947367,0.06318145282139756,0.03591228070175438,0.02726917211964318,10.235,95.215,83.515,-20.1,0,47,,,,
D1,early,83,1.6938775510204083,0.3614457831325301,0.06903206371574098,0.1349879518072289,-0.0659558880914879,56.02,141.0,84.98,-9.7,0,0,,,,
D1,middle,78,1.5918367346938775,0.358974358974359,0.06466427493572557,0.14747435897435895,-0.08281008403863338,57.515,142.495,82.73,-4.85,2,0,,,,
D1,late,66,1.346938775510204,0.24242424242424243,0.05901822937385164,0.06343939393939395,-0.004421164565542306,20.935,105.915,84.98,-16.3,0,47,,,,
D2,early,89,1.816326530612245,0.3595505617977528,0.06625405149114166,0.1210561797752809,-0.05480212828413923,53.87,138.85,84.98,-9.7,1,0,,,,
D2,middle,79,1.6122448979591837,0.35443037974683544,0.0641885102718935,0.1429493670886076,-0.07876085681671409,56.465,141.445,82.73,-4.85,2,0,,,,
D2,late,75,1.530612244897959,0.24,0.05525205841585409,0.059426666666666676,-0.004174608250812589,22.285,107.265,84.98,-17.2,0,47,,,,
D3,early,94,1.9183673469387754,0.35106382978723405,0.06357764086502218,0.11099999999999999,-0.047422359134977804,52.17,137.15,84.98,-10.4,1,0,21.0,0.2857142857142857,-0.006904761904761903,0.1449178082191781
D3,middle,87,1.7755102040816326,0.3448275862068966,0.05973276201273495,0.13320689655172413,-0.07347413453898918,57.945,142.925,81.23,-6.9,2,0,16.0,0.3125,0.09100000000000001,0.14271830985915493
D3,late,85,1.7346938775510203,0.25882352941176473,0.05089611366699086,0.05888235294117647,-0.00798623927418561,25.025,110.005,84.98,-20.75,0,47,28.0,0.35714285714285715,0.10564285714285716,0.03591228070175438
D4,early,73,1.489795918367347,0.3698630136986301,0.07375916985409245,0.1449178082191781,-0.07115863836508565,52.895,137.875,84.98,-7.95,0,0,,,,
D4,middle,71,1.4489795918367347,0.36619718309859156,0.06768386605945148,0.15018309859154927,-0.08249923253209779,53.315,138.295,83.23,-4.85,2,0,,,,
D4,late,57,1.163265306122449,0.21052631578947367,0.06318145282139756,0.03591228070175438,0.02726917211964318,10.235,95.215,83.515,-20.1,0,47,,,,
