date,temp_early_morning
2021-01-01,32.0
2021-01-02,30.0
2021-01-03,32.0
2021-01-04,25.0
2021-01-05,32.0
2021-01-06,35.0
2021-01-07,37.0
2021-01-08,32.0
2021-01-09,32.0
2021-01-10,28.9
2021-01-11,25.0
2021-01-12,30.9
2021-01-13,36.0
2021-01-14,36.0
2021-01-15,35.0
2021-01-16,35.0
2021-01-17,
2021-01-18,28.0
2021-01-19,24.1
2021-01-20,18.0
2021-01-21,35.0
2021-01-22,15.1
2021-01-23,19.9
2021-01-24,28.0
2021-01-25,30.0
2021-01-26,30.9
2021-01-27,21.9
2021-01-28,18.0
2021-01-29,24.1
2021-01-30,32.0
2021-01-31,30.9
2021-02-01,27.0
2021-02-02,30.0
2021-02-03,26.1
2021-02-04,36.0
2021-02-05,12.0
2021-02-06,9.0
2021-02-07,-2.0
2021-02-08,8.1
2021-02-09,6.0
2021-02-10,10.9
2021-02-11,15.1
2021-02-12,12.9
2021-02-13,7.0
2021-02-14,1.0
2021-02-15,4.0
2021-02-16,12.9
2021-02-17,18.0
2021-02-18,21.9
2021-02-19,14.0
2021-02-20,17.1
2021-02-21,27.0
2021-02-22,28.0
2021-02-23,41.0
2021-02-24,44.0
2021-02-25,35.0
2021-02-26,36.0
2021-02-27,41.0
2021-02-28,46.0
2021-03-01,30.9
2021-03-02,32.0
2021-03-03,47.0
2021-03-04,35.0
2021-03-05,39.0
2021-03-06,42.0
2021-03-07,39.0
2021-03-08,56.0
2021-03-09,53.0
2021-03-10,59.0
2021-03-11,47.0
2021-03-12,47.0
2021-03-13,47.0
2021-03-14,45.0
2021-03-15,34.0
2021-03-16,35.0
2021-03-17,36.0
2021-03-18,38.0
2021-03-19,39.0
2021-03-20,42.0
2021-03-21,53.0
2021-03-22,57.0
2021-03-23,60.0
2021-03-24,55.0
2021-03-25,47.0
2021-03-26,40.0
2021-03-27,48.0
2021-03-28,40.0
2021-03-29,44.0
2021-03-30,58.0
2021-03-31,38.0
2021-04-01,30.0
2021-04-02,39.0
2021-04-03,51.0
2021-04-04,59.0
2021-04-05,68.0
2021-04-06,69.0
2021-04-07,70.0
2021-04-08,62.0
