date,temp_early_morning
2021-01-01,46.0
2021-01-02,48.0
2021-01-03,60.0
2021-01-04,65.0
2021-01-05,62.0
2021-01-06,65.0
2021-01-07,53.0
2021-01-08,50.0
2021-01-09,47.0
2021-01-10,43.0
2021-01-11,38.0
2021-01-12,43.0
2021-01-13,49.0
2021-01-14,60.0
2021-01-15,54.0
2021-01-16,52.0
2021-01-17,56.0
2021-01-18,63.0
2021-01-19,70.0
2021-01-20,62.0
2021-01-21,67.0
2021-01-22,67.0
2021-01-23,62.0
2021-01-24,70.0
2021-01-25,75.0
2021-01-26,73.0
2021-01-27,62.0
2021-01-28,48.0
2021-01-29,56.0
2021-01-30,70.0
2021-01-31,61.0
2021-02-01,51.0
2021-02-02,57.0
2021-02-03,63.0
2021-02-04,73.0
2021-02-05,55.0
2021-02-06,54.0
2021-02-07,52.0
2021-02-08,65.0
2021-02-09,66.0
2021-02-10,65.0
2021-02-11,43.0
2021-02-12,38.0
2021-02-13,38.0
2021-02-14,37.0
2021-02-15,19.9
2021-02-16,21.9
2021-02-17,34.0
2021-02-18,34.0
2021-02-19,35.0
2021-02-20,46.0
2021-02-21,65.0
2021-02-22,65.0
2021-02-23,68.0
2021-02-24,73.0
2021-02-25,71.0
2021-02-26,73.0
2021-02-27,73.0
2021-02-28,75.0
2021-03-01,60.0
2021-03-02,51.0
2021-03-03,57.0
2021-03-04,62.0
2021-03-05,65.0
2021-03-06,61.0
2021-03-07,60.0
2021-03-08,64.0
2021-03-09,72.0
2021-03-10,73.0
2021-03-11,74.0
2021-03-12,75.0
2021-03-13,75.0
2021-03-14,73.0
2021-03-15,66.0
2021-03-16,70.0
2021-03-17,74.0
2021-03-18,55.0
2021-03-19,55.0
2021-03-20,56.0
2021-03-21,57.0
2021-03-22,68.0
2021-03-23,68.0
2021-03-24,69.0
2021-03-25,71.0
2021-03-26,70.0
2021-03-27,73.0
2021-03-28,65.0
2021-03-29,64.0
2021-03-30,72.0
2021-03-31,78.0
2021-04-01,61.0
2021-04-02,59.0
2021-04-03,60.0
2021-04-04,66.0
2021-04-05,72.0
2021-04-06,74.0
2021-04-07,77.0
2021-04-08,74.0
2021-04-09,77.0
2021-04-10,70.0
2021-04-11,71.0
2021-04-12,76.0
2021-04-13,73.0
2021-04-14,76.0
2021-04-15,65.0
2021-04-16,65.0
2021-04-17,59.0
2021-04-18,59.0
2021-04-19,66.0
2021-04-20,70.0
2021-04-21,55.0
2021-04-22,64.0
2021-04-23,74.0
2021-04-24,81.0
2021-04-25,73.0
2021-04-26,75.0
2021-04-27,77.0
2021-04-28,82.0
2021-04-29,81.0
2021-04-30,72.0
2021-05-01,71.0
2021-05-02,78.0
2021-05-03,81.0
2021-05-04,81.0
2021-05-05,69.0
2021-05-06,75.0
2021-05-07,80.0
2021-05-08,80.0
2021-05-09,81.0
2021-05-10,84.0
2021-05-11,85.0
2021-05-12,67.0
2021-05-13,72.0
2021-05-14,72.0
2021-05-15,79.0
2021-05-16,78.0
2021-05-17,82.0
2021-05-18,78.0
2021-05-19,70.0
2021-05-20,77.0
2021-05-21,79.0
2021-05-22,80.0
2021-05-23,77.0
2021-05-24,80.0
2021-05-25,82.0
2021-05-26,83.0
2021-05-27,83.0
2021-05-28,84.0
2021-05-29,81.0
2021-05-30,76.0
2021-05-31,82.0
2021-06-01,82.0
2021-06-02,82.0
2021-06-03,81.0
2021-06-04,77.0
2021-06-05,81.0
2021-06-06,83.0
2021-06-07,87.0
2021-06-08,86.0
2021-06-09,88.0
2021-06-10,86.0
2021-06-11,85.0
2021-06-12,87.0
2021-06-13,88.0
2021-06-14,91.0
2021-06-15,91.0
2021-06-16,86.0
2021-06-17,90.0
2021-06-18,88.0
2021-06-19,88.0
2021-06-20,88.0
2021-06-21,88.0
2021-06-22,84.0
2021-06-23,87.0
2021-06-24,90.0
2021-06-25,90.0
2021-06-26,89.0
2021-06-27,87.0
2021-06-28,75.0
2021-06-29,85.0
2021-06-30,86.0
2021-07-01,86.0
2021-07-02,86.0
2021-07-03,86.0
2021-07-04,84.0
2021-07-05,86.0
2021-07-06,77.0
2021-07-07,77.0
2021-07-08,81.0
2021-07-09,75.0
2021-07-10,86.0
2021-07-11,86.0
2021-07-12,87.0
2021-07-13,87.0
2021-07-14,86.0
2021-07-15,86.0
2021-07-16,87.0
2021-07-17,87.0
2021-07-18,88.0
2021-07-19,88.0
2021-07-20,82.0
2021-07-21,86.0
2021-07-22,86.0
2021-07-23,89.0
2021-07-24,87.0
2021-07-25,86.0
2021-07-26,85.0
2021-07-27,86.0
2021-07-28,88.0
2021-07-29,89.0
2021-07-30,89.0
2021-07-31,88.0
2021-08-01,88.0
2021-08-02,88.0
2021-08-03,83.0
2021-08-04,85.0
2021-08-05,86.0
2021-08-06,85.0
2021-08-07,88.0
2021-08-08,89.0
2021-08-09,89.0
2021-08-10,89.0
2021-08-11,90.0
2021-08-12,88.0
2021-08-13,87.0
2021-08-14,87.0
2021-08-15,87.0
2021-08-16,83.0
2021-08-17,87.0
2021-08-18,89.0
2021-08-19,89.0
2021-08-20,89.0
2021-08-21,89.0
2021-08-22,87.0
2021-08-23,87.0
2021-08-24,88.0
2021-08-25,89.0
2021-08-26,89.0
2021-08-27,81.0
2021-08-28,84.0
2021-08-29,85.0
2021-08-30,87.0
2021-08-31,87.0
2021-09-01,90.0
2021-09-02,89.0
2021-09-03,87.0
2021-09-04,87.0
2021-09-05,87.0
2021-09-06,77.0
2021-09-07,85.0
2021-09-08,86.0
2021-09-09,87.0
2021-09-10,86.0
2021-09-11,85.0
2021-09-12,85.0
2021-09-13,75.0
2021-09-14,74.0
2021-09-15,76.0
2021-09-16,78.0
2021-09-17,83.0
2021-09-18,84.0
2021-09-19,83.0
2021-09-20,86.0
2021-09-21,88.0
2021-09-22,75.0
2021-09-23,78.0
2021-09-24,78.0
2021-09-25,78.0
2021-09-26,79.0
2021-09-27,83.0
2021-09-28,84.0
2021-09-29,74.0
2021-09-30,85.0
2021-10-01,80.0
2021-10-02,82.0
2021-10-03,82.0
2021-10-04,81.0
2021-10-05,79.0
2021-10-06,79.0
2021-10-07,81.0
2021-10-08,80.0
2021-10-09,82.0
2021-10-10,84.0
2021-10-11,77.0
2021-10-12,86.0
2021-10-13,85.0
2021-10-14,82.0
2021-10-15,83.0
2021-10-16,67.0
2021-10-17,67.0
2021-10-18,70.0
2021-10-19,75.0
2021-10-20,78.0
2021-10-21,78.0
2021-10-22,79.0
2021-10-23,82.0
2021-10-24,81.0
2021-10-25,80.0
2021-10-26,81.0
2021-10-27,66.0
2021-10-28,70.0
2021-10-29,65.0
2021-10-30,62.0
