date,temp_early_morning
2021-01-01,63.0
2021-01-02,58.0
2021-01-03,55.0
2021-01-04,54.0
2021-01-05,52.0
2021-01-06,56.0
2021-01-07,59.0
2021-01-08,51.0
2021-01-09,59.0
2021-01-10,65.0
2021-01-11,64.0
2021-01-12,64.0
2021-01-13,66.0
2021-01-14,71.0
2021-01-15,75.0
2021-01-16,74.0
2021-01-17,78.0
2021-01-18,67.0
2021-01-19,59.0
2021-01-20,69.0
2021-01-21,66.0
2021-01-22,60.0
2021-01-23,50.0
2021-01-24,51.0
2021-01-25,51.0
2021-01-26,51.0
2021-01-27,53.0
2021-01-28,58.0
2021-01-29,55.0
2021-01-30,54.0
2021-01-31,61.0
2021-02-01,63.0
2021-02-02,60.0
2021-02-03,56.0
2021-02-04,57.0
2021-02-05,57.0
2021-02-06,59.0
2021-02-07,52.0
2021-02-08,54.0
2021-02-09,55.0
2021-02-10,57.0
2021-02-11,58.0
2021-02-12,62.0
2021-02-13,58.0
2021-02-14,63.0
2021-02-15,58.0
2021-02-16,59.0
2021-02-17,63.0
2021-02-18,61.0
2021-02-19,60.0
2021-02-20,64.0
2021-02-21,65.0
2021-02-22,70.0
2021-02-23,69.0
2021-02-24,65.0
2021-02-25,64.0
2021-02-26,63.0
2021-02-27,62.0
2021-02-28,63.0
2021-03-01,66.0
2021-03-02,66.0
2021-03-03,54.0
2021-03-04,59.0
2021-03-05,67.0
2021-03-06,60.0
2021-03-07,59.0
2021-03-08,59.0
2021-03-09,58.0
2021-03-10,53.0
2021-03-11,52.0
2021-03-12,54.0
2021-03-13,57.0
2021-03-14,57.0
2021-03-15,51.0
2021-03-16,52.0
2021-03-17,55.0
2021-03-18,56.0
2021-03-19,59.0
2021-03-20,56.0
2021-03-21,56.0
2021-03-22,58.0
2021-03-23,56.0
2021-03-24,67.0
2021-03-25,56.0
2021-03-26,57.0
2021-03-27,61.0
2021-03-28,72.0
2021-03-29,68.0
2021-03-30,60.0
2021-03-31,73.0
2021-04-01,79.0
2021-04-02,64.0
2021-04-03,56.0
2021-04-04,63.0
2021-04-05,61.0
2021-04-06,61.0
2021-04-07,64.0
2021-04-08,65.0
2021-04-09,63.0
2021-04-10,60.0
2021-04-11,61.0
2021-04-12,60.0
2021-04-13,59.0
2021-04-14,57.0
2021-04-15,60.0
2021-04-16,61.0
2021-04-17,62.0
2021-04-18,79.0
2021-04-19,73.0
2021-04-20,63.0
2021-04-21,60.0
2021-04-22,58.0
2021-04-23,59.0
2021-04-24,59.0
2021-04-25,61.0
2021-04-26,59.0
2021-04-27,61.0
2021-04-28,67.0
2021-04-29,72.0
2021-04-30,76.0
2021-05-01,65.0
2021-05-02,62.0
2021-05-03,63.0
2021-05-04,67.0
2021-05-05,66.0
2021-05-06,62.0
2021-05-07,60.0
2021-05-08,62.0
2021-05-09,63.0
2021-05-10,63.0
2021-05-11,62.0
2021-05-12,61.0
2021-05-13,60.0
2021-05-14,62.0
2021-05-15,64.0
2021-05-16,57.0
2021-05-17,62.0
2021-05-18,62.0
2021-05-19,63.0
2021-05-20,63.0
2021-05-21,62.0
2021-05-22,61.0
2021-05-23,63.0
2021-05-24,69.0
2021-05-25,71.0
2021-05-26,69.0
2021-05-27,67.0
2021-05-28,65.0
2021-05-29,59.0
2021-05-30,62.0
2021-05-31,62.0
2021-06-01,61.0
2021-06-02,59.0
2021-06-03,65.0
2021-06-04,66.0
2021-06-05,66.0
2021-06-06,64.0
2021-06-07,60.0
2021-06-08,66.0
2021-06-09,67.0
2021-06-10,66.0
2021-06-11,70.0
2021-06-12,72.0
2021-06-13,68.0
2021-06-14,70.0
2021-06-15,78.0
2021-06-16,76.0
2021-06-17,71.0
2021-06-18,68.0
2021-06-19,64.0
2021-06-20,63.0
2021-06-21,67.0
2021-06-22,65.0
2021-06-23,68.0
2021-06-24,64.0
2021-06-25,67.0
2021-06-26,69.0
2021-06-27,67.0
2021-06-28,68.0
2021-06-29,69.0
2021-06-30,67.0
2021-07-01,68.0
2021-07-02,68.0
2021-07-03,68.0
2021-07-04,69.0
2021-07-05,68.0
2021-07-06,68.0
2021-07-07,69.0
2021-07-08,73.0
2021-07-09,72.0
2021-07-10,74.0
2021-07-11,73.0
2021-07-12,74.0
2021-07-13,69.0
2021-07-14,73.0
2021-07-15,72.0
2021-07-16,70.0
2021-07-17,73.0
2021-07-18,74.0
2021-07-19,73.0
2021-07-20,72.0
2021-07-21,74.0
2021-07-22,74.0
2021-07-23,71.0
2021-07-24,68.0
2021-07-25,69.0
2021-07-26,70.0
2021-07-27,66.0
2021-07-28,69.0
2021-07-29,67.0
2021-07-30,66.0
2021-07-31,63.0
2021-08-01,72.0
2021-08-02,74.0
2021-08-03,71.0
2021-08-04,70.0
2021-08-05,70.0
2021-08-06,69.0
2021-08-07,67.0
2021-08-08,67.0
2021-08-09,70.0
2021-08-10,69.0
2021-08-11,73.0
2021-08-12,74.0
2021-08-13,78.0
2021-08-14,73.0
2021-08-15,74.0
2021-08-16,76.0
2021-08-17,74.0
2021-08-18,72.0
2021-08-19,73.0
2021-08-20,69.0
2021-08-21,66.0
2021-08-22,70.0
2021-08-23,70.0
2021-08-24,71.0
2021-08-25,74.0
2021-08-26,79.0
2021-08-27,72.0
2021-08-28,66.0
2021-08-29,64.0
2021-08-30,71.0
2021-08-31,69.0
2021-09-01,72.0
2021-09-02,69.0
2021-09-03,67.0
2021-09-04,72.0
2021-09-05,72.0
2021-09-06,74.0
2021-09-07,75.0
2021-09-08,69.0
2021-09-09,67.0
2021-09-10,69.0
2021-09-11,73.0
2021-09-12,72.0
2021-09-13,68.0
2021-09-14,68.0
2021-09-15,67.0
2021-09-16,66.0
2021-09-17,68.0
2021-09-18,67.0
2021-09-19,66.0
2021-09-20,71.0
2021-09-21,76.0
2021-09-22,73.0
2021-09-23,69.0
2021-09-24,67.0
2021-09-25,66.0
2021-09-26,64.0
2021-09-27,64.0
2021-09-28,67.0
2021-09-29,68.0
2021-09-30,74.0
2021-10-01,78.0
2021-10-02,79.0
2021-10-03,81.0
2021-10-04,76.0
2021-10-05,72.0
