date,temp_early_morning
2021-01-01,48.0
2021-01-02,48.0
2021-01-03,44.0
2021-01-04,49.0
2021-01-05,43.0
2021-01-06,46.0
2021-01-07,45.0
2021-01-08,45.0
2021-01-09,37.0
2021-01-10,44.0
2021-01-11,47.0
2021-01-12,53.0
2021-01-13,44.0
2021-01-14,44.0
2021-01-15,50.0
2021-01-16,42.0
2021-01-17,46.0
2021-01-18,45.0
2021-01-19,37.0
2021-01-20,40.0
2021-01-21,43.0
2021-01-22,41.0
2021-01-23,34.0
2021-01-24,40.0
2021-01-25,39.0
2021-01-26,38.0
2021-01-27,40.0
2021-01-28,44.0
2021-01-29,42.0
2021-01-30,44.0
2021-01-31,50.0
2021-02-01,50.0
2021-02-02,42.0
2021-02-03,44.0
2021-02-04,44.0
2021-02-05,50.0
2021-02-06,43.0
2021-02-07,43.0
2021-02-08,38.0
2021-02-09,37.0
2021-02-10,34.0
2021-02-11,35.0
2021-02-12,30.9
2021-02-13,27.0
2021-02-14,30.0
2021-02-15,40.0
2021-02-16,43.0
2021-02-17,40.0
2021-02-18,42.0
2021-02-19,44.0
2021-02-20,41.0
2021-02-21,47.0
2021-02-22,49.0
2021-02-23,44.0
2021-02-24,40.0
2021-02-25,44.0
2021-02-26,43.0
2021-02-27,42.0
2021-02-28,46.0
2021-03-01,47.0
2021-03-02,42.0
2021-03-03,44.0
2021-03-04,45.0
2021-03-05,53.0
2021-03-06,46.0
2021-03-07,45.0
2021-03-08,43.0
2021-03-09,45.0
2021-03-10,44.0
2021-03-11,46.0
2021-03-12,45.0
2021-03-13,49.0
2021-03-14,45.0
2021-03-15,39.0
2021-03-16,43.0
2021-03-17,42.0
2021-03-18,45.0
2021-03-19,47.0
2021-03-20,44.0
2021-03-21,44.0
2021-03-22,41.0
2021-03-23,44.0
2021-03-24,45.0
2021-03-25,45.0
2021-03-26,47.0
2021-03-27,47.0
2021-03-28,46.0
2021-03-29,42.0
2021-03-30,44.0
2021-03-31,48.0
2021-04-01,49.0
2021-04-02,47.0
2021-04-03,49.0
2021-04-04,46.0
2021-04-05,44.0
2021-04-06,45.0
2021-04-07,46.0
2021-04-08,44.0
2021-04-09,44.0
2021-04-10,43.0
2021-04-11,45.0
2021-04-12,48.0
2021-04-13,53.0
2021-04-14,54.0
2021-04-15,62.0
2021-04-16,63.0
2021-04-17,64.0
2021-04-18,63.0
2021-04-19,57.0
2021-04-20,60.0
2021-04-21,58.0
2021-04-22,50.0
2021-04-23,52.0
2021-04-24,47.0
2021-04-25,51.0
2021-04-26,51.0
2021-04-27,52.0
2021-04-28,55.0
2021-04-29,59.0
2021-04-30,54.0
2021-05-01,51.0
2021-05-02,52.0
2021-05-03,52.0
2021-05-04,53.0
2021-05-05,56.0
2021-05-06,58.0
2021-05-07,47.0
2021-05-08,50.0
2021-05-09,51.0
2021-05-10,56.0
2021-05-11,56.0
2021-05-12,60.0
2021-05-13,58.0
2021-05-14,61.0
2021-05-15,59.0
2021-05-16,61.0
2021-05-17,53.0
2021-05-18,52.0
2021-05-19,50.0
2021-05-20,47.0
2021-05-21,50.0
2021-05-22,48.0
2021-05-23,53.0
2021-05-24,52.0
2021-05-25,53.0
2021-05-26,55.0
2021-05-27,56.0
2021-05-28,52.0
2021-05-29,58.0
2021-05-30,62.0
2021-05-31,64.0
2021-06-01,72.0
2021-06-02,72.0
2021-06-03,62.0
2021-06-04,55.0
2021-06-05,60.0
2021-06-06,49.0
2021-06-07,50.0
2021-06-08,58.0
2021-06-09,57.0
2021-06-10,57.0
2021-06-11,57.0
2021-06-12,62.0
2021-06-13,60.0
2021-06-14,58.0
2021-06-15,62.0
2021-06-16,60.0
2021-06-17,65.0
2021-06-18,64.0
2021-06-19,60.0
2021-06-20,69.0
2021-06-21,75.0
2021-06-22,64.0
2021-06-23,56.0
2021-06-24,65.0
2021-06-25,72.0
2021-06-26,85.0
2021-06-27,88.0
2021-06-28,94.0
2021-06-29,70.0
2021-06-30,64.0
2021-07-01,65.0
2021-07-02,62.0
2021-07-03,64.0
2021-07-04,61.0
2021-07-05,58.0
2021-07-06,57.0
2021-07-07,60.0
2021-07-08,58.0
2021-07-09,64.0
2021-07-10,60.0
2021-07-11,62.0
2021-07-12,64.0
2021-07-13,57.0
2021-07-14,56.0
2021-07-15,58.0
2021-07-16,57.0
2021-07-17,63.0
2021-07-18,67.0
2021-07-19,67.0
2021-07-20,58.0
2021-07-21,58.0
2021-07-22,65.0
2021-07-23,64.0
2021-07-24,70.0
2021-07-25,69.0
2021-07-26,67.0
2021-07-27,68.0
2021-07-28,70.0
2021-07-29,73.0
2021-07-30,76.0
2021-07-31,68.0
