date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2024-08-01,94.44292724609379,9.4,807.4,6.344116478389174,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-02,94.22336547851566,0.2,865.0,7.745534406802858,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-03,90.63676879882817,11.2,767.4,7.959429211607267,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-04,88.47015502929692,45.4,601.6,5.966675518558963,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-05,89.00804565429692,21.4,764.0,13.230854671869551,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-06,93.51430786132816,100.0,752.4,11.924777544269453,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-07,95.2941479492188,7.6,849.8,11.135910196098092,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-08,94.9671948242188,40.0,817.8,10.779916833856205,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-09,94.1142163085938,31.2,759.4,5.654333700644196,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-10,93.75891845703129,4.8,844.2,5.181279856938943,0.0,17,5,33.62671858217277,-84.41810670968249
2024-08-11,92.81332519531254,0.0,841.4,5.235283508133991,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-12,91.36455810546879,40.0,835.6,6.015669323160649,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-13,91.97166259765629,62.6,841.0,8.596970803329693,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-14,89.00678222656254,72.4,536.6,6.14705985882415,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-15,90.22939575195316,23.8,675.2,5.833029378199937,0.0,17,5,33.62671858217277,-84.41810670968249
2024-08-16,93.19021118164066,23.4,807.2,5.406834879891245,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-17,94.60409667968754,9.2,796.2,7.8110981436393505,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-18,91.9037670898438,10.2,794.8,12.012940931250197,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-19,88.02586791992192,20.6,772.4,11.4084158276581,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-20,89.33604248046879,20.8,797.0,5.121529623313175,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-21,86.38434570312504,10.6,762.6,6.222838831855486,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-22,85.08076293945317,27.4,727.0,8.062343131384878,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-23,85.04626586914067,0.0,854.8,10.637370246455728,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-24,88.8341870117188,0.0,843.2,6.536359599309594,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-25,91.40421875000004,0.0,846.0,7.965792400958941,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-26,91.9191479492188,0.0,829.8,4.562493034330994,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-27,94.14437377929691,0.0,825.5599975585938,3.2251133845967708,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-28,96.17228515625004,15.8,748.3599975585937,3.0898394397280367,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-29,95.7281079101563,14.4,686.1599975585938,3.228688601922413,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-30,94.06225097656254,44.8,564.0663330078125,4.515841888314471,0.0,18,5,33.62671858217277,-84.41810670968249
2024-08-31,92.91280639648441,82.8,696.1599975585938,5.357615633997537,0.0,18,5,33.62671858217277,-84.41810670968249
