date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2021-03-01,34.680817871093794,30.2,380.19999237060546,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-02,43.18555419921879,3.0,412.23999786376953,,,0.003000000026077032,18,4,41.979677729815016,-87.88952508688783
2021-03-03,59.34853027343754,0.2,421.6800003051758,,,0.0,17,5,41.979677729815016,-87.88952508688783
2021-03-04,33.815260009765666,72.2,261.44000244140625,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-05,48.45888183593754,7.2,424.4600006103516,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-06,46.93123291015629,4.2,435.27999420166014,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-07,53.549287109375044,99.0,420.55999450683595,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-08,64.16603515625005,27.0,420.4800003051758,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-09,69.31345947265629,20.6,407.73999938964846,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-10,72.51844604492192,48.8,323.25999908447267,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-11,54.298005371093794,8.8,458.9599975585937,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-12,54.993439941406294,93.2,417.92000274658204,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-13,58.12542236328129,35.8,458.8999954223633,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-14,44.61377685546879,96.8,513.9,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-15,34.57249267578129,100.0,141.05999984741212,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-16,36.64528320312504,100.0,133.76000061035157,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-17,38.277906494140666,100.0,176.13999938964844,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-18,39.51639526367192,100.0,406.5,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-19,41.97178466796879,2.0,641.9999938964844,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-20,59.004163818359416,0.0,645.2400024414062,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-21,66.20877807617191,100.0,617.8599975585937,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-22,68.55880859375004,94.8,575.6000061035156,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-23,62.38767822265629,100.0,265.3399993896484,,,0.0,16,5,41.979677729815016,-87.88952508688783
2021-03-24,55.911512451171916,93.4,209.06000061035155,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-25,48.95623291015629,100.0,228.0,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-26,42.59015014648442,100.0,96.28000030517578,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-27,58.30614746093754,100.0,300.76000061035154,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-28,43.74212158203129,85.0,398.1,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-29,60.889252929687544,0.0,650.1200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-30,69.99560058593754,52.2,619.8200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
2021-03-31,40.20501831054692,100.0,360.93999938964845,,,0.0,18,5,41.979677729815016,-87.88952508688783
