date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2025-03-01,60.52989013671879,82.2,285.1000030517578,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-02,59.40456054687504,9.8,499.52000427246094,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-03,62.74341552734379,0.0,497.2749900817871,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-04,64.75484741210941,100.0,492.97999267578126,,,0.0,17,5,33.94554697556787,-118.40164890245538
2025-03-05,61.823090820312544,100.0,119.86000022888183,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-06,55.18767822265629,81.0,412.5199920654297,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-07,63.778492431640665,26.8,468.8000091552734,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-08,61.779145507812544,4.4,518.1199890136719,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-09,69.27165649414067,0.2,682.0000122070312,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-10,65.17013061523441,100.0,649.0600036621094,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-11,56.472199707031294,97.6,403.75999450683594,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-12,62.42536132812504,82.6,259.0807388305664,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-13,52.24510009765629,26.8,506.3599914550781,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-14,49.60662353515629,100.0,124.3199966430664,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-15,61.99222534179692,0.0,690.9599914550781,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-16,64.87421386718754,99.6,654.0599975585938,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-17,58.81860473632817,87.6,287.92000045776365,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-18,64.12439697265629,0.0,716.1999938964843,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-19,74.1169018554688,9.6,711.8999938964844,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-20,71.01007812500004,32.0,717.1800048828125,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-21,67.84596069335942,0.0,708.3400024414062,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-22,69.41491821289067,68.6,697.3200012207031,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-23,65.21341674804691,23.0,616.9750061035156,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-24,72.98706787109379,13.4,700.6599975585938,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-25,60.83695800781254,82.2,485.09999694824216,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-26,63.17248657226567,53.6,539.7000091552734,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-27,60.71940429687504,100.0,239.14000091552734,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-28,64.91008422851567,3.6,726.1400024414063,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-29,65.08383300781254,17.2,732.6200073242187,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-30,60.18563354492191,80.2,350.50000762939453,,,0.0,18,5,33.94554697556787,-118.40164890245538
2025-03-31,61.977448730468794,95.0,474.8399963378906,,,0.0,18,5,33.94554697556787,-118.40164890245538
