date,nwp_tmax_openmeteo
2021-01-01,51.6
2021-01-02,62.8
2021-01-03,68.5
2021-01-04,75.9
2021-01-05,71.4
2021-01-06,66.9
2021-01-07,61.9
2021-01-08,56.1
2021-01-09,52.6
2021-01-10,49.9
2021-01-11,46.9
2021-01-12,49.9
2021-01-13,64.4
2021-01-14,68.5
2021-01-15,61.6
2021-01-16,63.4
2021-01-17,67.3
2021-01-18,75.2
2021-01-19,71.0
2021-01-20,53.9
2021-01-21,65.3
2021-01-22,75.1
2021-01-23,64.8
2021-01-24,69.6
2021-01-25,76.0
2021-01-26,73.6
2021-01-27,68.9
2021-01-28,58.1
2021-01-29,67.4
2021-01-30,76.9
2021-01-31,74.8
2021-02-01,63.7
2021-02-02,68.1
2021-02-03,75.5
2021-02-04,82.5
2021-02-05,69.2
2021-02-06,76.0
2021-02-07,69.5
2021-02-08,75.7
2021-02-09,72.8
2021-02-10,55.3
2021-02-11,39.2
2021-02-12,32.1
2021-02-13,30.9
2021-02-14,30.9
2021-02-15,22.9
2021-02-16,24.8
2021-02-17,31.9
2021-02-18,32.5
2021-02-19,40.9
2021-02-20,60.8
2021-02-21,73.8
2021-02-22,74.0
2021-02-23,77.8
2021-02-24,81.5
2021-02-25,78.9
2021-02-26,58.4
2021-02-27,77.1
2021-02-28,77.6
2021-03-01,74.2
2021-03-02,64.7
2021-03-03,71.4
2021-03-04,75.4
2021-03-05,80.4
2021-03-06,73.6
2021-03-07,69.7
2021-03-08,71.1
2021-03-09,76.2
2021-03-10,81.5
2021-03-11,78.1
2021-03-12,80.6
2021-03-13,78.8
2021-03-14,76.1
2021-03-15,84.1
2021-03-16,79.9
2021-03-17,78.0
2021-03-18,72.8
2021-03-19,69.0
2021-03-20,69.8
2021-03-21,73.0
2021-03-22,72.0
2021-03-23,80.7
2021-03-24,78.6
2021-03-25,75.5
2021-03-26,82.4
2021-03-27,83.4
2021-03-28,82.3
2021-03-29,75.5
2021-03-30,80.4
2021-03-31,78.5
2021-04-01,69.8
2021-04-02,71.4
2021-04-03,67.9
2021-04-04,75.0
2021-04-05,78.7
2021-04-06,85.6
2021-04-07,85.5
2021-04-08,89.5
2021-04-09,89.9
2021-04-10,83.4
2021-04-11,87.9
2021-04-12,87.2
2021-04-13,83.2
2021-04-14,80.5
2021-04-15,77.2
2021-04-16,67.8
2021-04-17,65.4
2021-04-18,65.5
2021-04-19,74.2
2021-04-20,81.7
2021-04-21,68.5
2021-04-22,66.3
2021-04-23,71.3
2021-04-24,81.5
2021-04-25,87.6
2021-04-26,86.8
2021-04-27,82.1
2021-04-28,84.3
2021-04-29,82.2
2021-04-30,71.9
2021-05-01,71.5
2021-05-02,89.5
2021-05-03,92.7
2021-05-04,87.1
2021-05-05,79.7
2021-05-06,84.4
2021-05-07,85.3
2021-05-08,88.0
2021-05-09,87.5
2021-05-10,85.9
2021-05-11,75.5
2021-05-12,71.5
2021-05-13,73.2
2021-05-14,80.4
2021-05-15,79.8
2021-05-16,80.3
2021-05-17,78.6
2021-05-18,77.8
2021-05-19,70.7
2021-05-20,84.0
2021-05-21,84.6
2021-05-22,83.7
2021-05-23,79.2
2021-05-24,83.5
2021-05-25,85.3
2021-05-26,89.0
2021-05-27,89.6
2021-05-28,88.9
2021-05-29,85.8
2021-05-30,85.9
2021-05-31,84.1
2021-06-01,82.3
2021-06-02,87.3
2021-06-03,85.0
2021-06-04,80.5
2021-06-05,80.2
2021-06-06,89.5
2021-06-07,89.8
2021-06-08,91.0
2021-06-09,92.8
2021-06-10,92.7
2021-06-11,92.4
2021-06-12,92.7
2021-06-13,95.8
2021-06-14,96.0
2021-06-15,96.3
2021-06-16,93.8
2021-06-17,95.1
2021-06-18,93.6
2021-06-19,93.3
2021-06-20,91.6
2021-06-21,94.4
2021-06-22,92.7
2021-06-23,94.9
2021-06-24,95.1
2021-06-25,94.0
2021-06-26,94.1
2021-06-27,89.9
2021-06-28,86.0
2021-06-29,85.0
2021-06-30,90.4
2021-07-01,92.1
2021-07-02,94.1
2021-07-03,88.5
2021-07-04,83.4
2021-07-05,83.2
2021-07-06,86.6
2021-07-07,84.4
2021-07-08,86.7
2021-07-09,79.3
2021-07-10,91.0
2021-07-11,91.5
2021-07-12,90.0
2021-07-13,90.3
2021-07-14,88.4
2021-07-15,91.3
2021-07-16,91.5
2021-07-17,92.2
2021-07-18,93.0
2021-07-19,93.1
2021-07-20,88.9
2021-07-21,88.2
2021-07-22,90.2
2021-07-23,93.4
2021-07-24,95.3
2021-07-25,95.9
2021-07-26,96.4
2021-07-27,95.3
2021-07-28,94.1
2021-07-29,92.8
2021-07-30,95.2
2021-07-31,95.1
2021-08-01,96.5
2021-08-02,83.8
2021-08-03,88.8
2021-08-04,88.9
2021-08-05,87.3
2021-08-06,88.8
2021-08-07,92.4
2021-08-08,94.1
2021-08-09,94.2
2021-08-10,94.7
2021-08-11,95.3
2021-08-12,94.5
2021-08-13,93.5
2021-08-14,94.4
2021-08-15,91.8
2021-08-16,91.4
2021-08-17,92.7
2021-08-18,92.1
2021-08-19,94.9
2021-08-20,94.2
2021-08-21,96.1
2021-08-22,95.1
2021-08-23,94.7
2021-08-24,95.6
2021-08-25,95.1
2021-08-26,96.5
2021-08-27,88.7
2021-08-28,92.5
2021-08-29,92.7
2021-08-30,91.6
2021-08-31,96.4
2021-09-01,97.1
2021-09-02,95.4
2021-09-03,95.4
2021-09-04,95.4
2021-09-05,98.6
2021-09-06,95.9
2021-09-07,93.6
2021-09-08,96.5
2021-09-09,93.5
2021-09-10,91.5
2021-09-11,91.1
2021-09-12,90.6
2021-09-13,89.5
2021-09-14,83.7
2021-09-15,88.6
2021-09-16,91.2
2021-09-17,94.7
2021-09-18,96.0
2021-09-19,97.7
2021-09-20,98.0
2021-09-21,95.7
2021-09-22,85.6
2021-09-23,86.1
2021-09-24,86.5
2021-09-25,88.6
2021-09-26,89.5
2021-09-27,90.5
2021-09-28,94.5
2021-09-29,87.8
2021-09-30,92.1
2021-10-01,85.4
2021-10-02,85.9
2021-10-03,88.4
2021-10-04,89.4
2021-10-05,89.0
2021-10-06,88.4
2021-10-07,89.1
2021-10-08,89.6
2021-10-09,87.5
2021-10-10,90.7
2021-10-11,85.9
2021-10-12,87.1
2021-10-13,88.6
2021-10-14,81.2
2021-10-15,85.8
2021-10-16,74.2
2021-10-17,73.4
2021-10-18,77.8
2021-10-19,83.5
2021-10-20,82.4
2021-10-21,84.0
2021-10-22,85.9
2021-10-23,87.1
2021-10-24,85.7
2021-10-25,87.6
2021-10-26,86.4
2021-10-27,80.6
2021-10-28,79.0
2021-10-29,75.3
2021-10-30,79.9
2021-10-31,82.4
2021-11-01,81.3
2021-11-02,76.9
2021-11-03,74.2
2021-11-04,58.0
2021-11-05,62.5
2021-11-06,69.1
2021-11-07,74.7
2021-11-08,78.3
2021-11-09,76.3
2021-11-10,80.9
2021-11-11,75.9
2021-11-12,76.8
2021-11-13,70.2
2021-11-14,78.4
2021-11-15,81.2
2021-11-16,81.4
2021-11-17,82.7
2021-11-18,75.5
2021-11-19,66.1
2021-11-20,72.6
2021-11-21,77.0
2021-11-22,72.0
2021-11-23,70.6
2021-11-24,77.9
2021-11-25,72.7
2021-11-26,58.6
2021-11-27,52.1
2021-11-28,69.6
2021-11-29,72.2
2021-11-30,73.6
2021-12-01,76.2
2021-12-02,78.0
2021-12-03,76.5
2021-12-04,76.6
2021-12-05,79.0
2021-12-06,75.6
2021-12-07,68.7
2021-12-08,78.9
2021-12-09,77.5
2021-12-10,84.6
2021-12-11,77.5
2021-12-12,62.1
2021-12-13,64.7
2021-12-14,74.0
2021-12-15,80.5
2021-12-16,81.0
2021-12-17,78.5
2021-12-18,75.1
2021-12-19,51.9
2021-12-20,58.1
2021-12-21,65.7
2021-12-22,74.2
2021-12-23,72.0
2021-12-24,79.2
2021-12-25,78.1
2021-12-26,77.3
2021-12-27,80.5
2021-12-28,75.2
2021-12-29,81.4
2021-12-30,82.2
2021-12-31,83.1
2022-01-01,78.2
2022-01-02,73.0
2022-01-03,56.0
2022-01-04,66.2
2022-01-05,72.3
2022-01-06,64.0
2022-01-07,46.2
2022-01-08,62.1
2022-01-09,62.5
2022-01-10,57.4
2022-01-11,51.7
2022-01-12,63.4
2022-01-13,75.1
2022-01-14,77.9
2022-01-15,69.1
2022-01-16,61.6
2022-01-17,69.7
2022-01-18,74.3
2022-01-19,78.8
2022-01-20,73.4
2022-01-21,48.1
2022-01-22,53.5
2022-01-23,58.0
2022-01-24,57.1
2022-01-25,52.6
2022-01-26,52.9
2022-01-27,59.3
2022-01-28,57.9
2022-01-29,66.2
2022-01-30,68.8
2022-01-31,64.3
2022-02-01,64.1
2022-02-02,62.6
2022-02-03,45.5
2022-02-04,39.9
2022-02-05,50.5
2022-02-06,58.6
2022-02-07,60.0
2022-02-08,66.1
2022-02-09,73.8
2022-02-10,73.0
2022-02-11,75.3
