date,nwp_tmax_openmeteo
2021-01-01,67.7
2021-01-02,62.9
2021-01-03,61.0
2021-01-04,59.7
2021-01-05,58.7
2021-01-06,66.6
2021-01-07,67.7
2021-01-08,63.3
2021-01-09,74.5
2021-01-10,70.9
2021-01-11,71.8
2021-01-12,71.8
2021-01-13,75.8
2021-01-14,78.6
2021-01-15,88.3
2021-01-16,83.6
2021-01-17,86.8
2021-01-18,76.0
2021-01-19,71.1
2021-01-20,77.3
2021-01-21,74.6
2021-01-22,64.0
2021-01-23,57.3
2021-01-24,58.8
2021-01-25,56.8
2021-01-26,56.6
2021-01-27,59.0
2021-01-28,63.5
2021-01-29,59.7
2021-01-30,62.3
2021-01-31,71.9
2021-02-01,69.7
2021-02-02,63.4
2021-02-03,61.0
2021-02-04,62.7
2021-02-05,64.1
2021-02-06,65.8
2021-02-07,63.2
2021-02-08,60.5
2021-02-09,59.6
2021-02-10,60.5
2021-02-11,62.6
2021-02-12,64.7
2021-02-13,64.0
2021-02-14,68.4
2021-02-15,65.9
2021-02-16,62.8
2021-02-17,67.7
2021-02-18,66.9
2021-02-19,67.7
2021-02-20,67.5
2021-02-21,71.2
2021-02-22,81.3
2021-02-23,75.2
2021-02-24,71.1
2021-02-25,72.1
2021-02-26,71.0
2021-02-27,71.5
2021-02-28,71.2
2021-03-01,75.0
2021-03-02,75.3
2021-03-03,65.2
2021-03-04,64.1
2021-03-05,72.9
2021-03-06,65.5
2021-03-07,60.5
2021-03-08,63.3
2021-03-09,60.7
2021-03-10,58.9
2021-03-11,57.9
2021-03-12,58.3
2021-03-13,60.6
2021-03-14,61.4
2021-03-15,57.8
2021-03-16,58.8
2021-03-17,61.6
2021-03-18,62.1
2021-03-19,65.9
2021-03-20,64.8
2021-03-21,64.4
2021-03-22,64.4
2021-03-23,64.5
2021-03-24,70.0
2021-03-25,65.2
2021-03-26,61.2
2021-03-27,71.7
2021-03-28,79.7
2021-03-29,72.9
2021-03-30,69.5
2021-03-31,85.6
2021-04-01,85.9
2021-04-02,77.3
2021-04-03,63.2
2021-04-04,66.6
2021-04-05,65.1
2021-04-06,64.8
2021-04-07,70.1
2021-04-08,67.7
2021-04-09,68.7
2021-04-10,67.7
2021-04-11,68.6
2021-04-12,64.5
2021-04-13,62.6
2021-04-14,61.9
2021-04-15,63.8
2021-04-16,66.0
2021-04-17,66.3
2021-04-18,88.7
2021-04-19,74.9
2021-04-20,68.5
2021-04-21,63.4
2021-04-22,62.2
2021-04-23,62.3
2021-04-24,62.1
2021-04-25,65.6
2021-04-26,63.5
2021-04-27,64.4
2021-04-28,74.2
2021-04-29,77.3
2021-04-30,77.3
2021-05-01,70.0
2021-05-02,66.5
2021-05-03,65.9
2021-05-04,69.7
2021-05-05,68.1
2021-05-06,65.9
2021-05-07,66.4
2021-05-08,68.2
2021-05-09,68.1
2021-05-10,66.7
2021-05-11,67.9
2021-05-12,67.0
2021-05-13,63.5
2021-05-14,67.3
2021-05-15,68.1
2021-05-16,64.2
2021-05-17,65.0
2021-05-18,67.8
2021-05-19,69.9
2021-05-20,67.7
2021-05-21,69.8
2021-05-22,67.4
2021-05-23,66.8
2021-05-24,72.1
2021-05-25,74.8
2021-05-26,73.7
2021-05-27,69.2
2021-05-28,67.4
2021-05-29,66.2
2021-05-30,67.2
2021-05-31,67.2
2021-06-01,65.7
2021-06-02,64.7
2021-06-03,67.9
2021-06-04,69.6
2021-06-05,69.6
2021-06-06,71.3
2021-06-07,69.5
2021-06-08,70.3
2021-06-09,70.0
2021-06-10,72.0
2021-06-11,73.1
2021-06-12,74.8
2021-06-13,72.9
2021-06-14,76.4
2021-06-15,78.8
2021-06-16,79.9
2021-06-17,74.5
2021-06-18,71.4
2021-06-19,69.3
2021-06-20,69.3
2021-06-21,71.5
2021-06-22,70.8
2021-06-23,72.5
2021-06-24,69.1
2021-06-25,71.2
2021-06-26,71.2
2021-06-27,73.4
2021-06-28,72.5
2021-06-29,73.5
2021-06-30,74.0
2021-07-01,74.7
2021-07-02,71.8
2021-07-03,72.2
2021-07-04,72.4
2021-07-05,71.7
2021-07-06,73.9
2021-07-07,72.6
2021-07-08,75.6
2021-07-09,76.5
2021-07-10,78.0
2021-07-11,76.9
2021-07-12,75.3
2021-07-13,77.3
2021-07-14,77.8
2021-07-15,77.2
2021-07-16,74.8
2021-07-17,76.6
2021-07-18,77.6
