date,nwp_tmax_openmeteo
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,41.0
2021-01-06,42.6
2021-01-07,42.4
2021-01-08,38.8
2021-01-09,35.7
2021-01-10,41.5
2021-01-11,36.6
2021-01-12,44.4
2021-01-13,43.3
2021-01-14,48.9
2021-01-15,44.7
2021-01-16,46.2
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,26.2
2021-01-30,32.7
2021-01-31,29.0
2021-02-01,32.0
2021-02-02,33.0
2021-02-03,36.6
2021-02-04,39.2
2021-02-05,42.4
2021-02-06,41.9
2021-02-07,39.8
2021-02-08,31.9
2021-02-09,32.1
2021-02-10,34.0
2021-02-11,32.5
2021-02-12,30.4
2021-02-13,30.3
2021-02-14,37.2
2021-02-15,34.7
2021-02-16,51.2
2021-02-17,40.8
2021-02-18,30.9
2021-02-19,32.8
2021-02-20,33.9
2021-02-21,37.1
2021-02-22,40.4
2021-02-23,43.5
2021-02-24,52.9
2021-02-25,48.9
2021-02-26,47.2
2021-02-27,50.8
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,33.8
2021-03-07,41.3
2021-03-08,43.7
2021-03-09,63.7
2021-03-10,55.0
2021-03-11,66.1
2021-03-12,68.4
2021-03-13,61.4
2021-03-14,52.8
2021-03-15,39.5
2021-03-16,36.0
2021-03-17,46.3
2021-03-18,45.5
2021-03-19,44.3
2021-03-20,59.0
2021-03-21,62.4
2021-03-22,60.6
2021-03-23,64.6
2021-03-24,54.0
2021-03-25,67.8
2021-03-26,77.4
2021-03-27,65.9
2021-03-28,57.2
2021-03-29,63.7
2021-03-30,57.6
2021-03-31,63.6
2021-04-01,56.8
2021-04-02,43.8
2021-04-03,53.4
2021-04-04,62.9
2021-04-05,69.0
2021-04-06,69.7
2021-04-07,70.8
2021-04-08,70.7
2021-04-09,57.2
2021-04-10,65.4
2021-04-11,57.2
2021-04-12,50.6
2021-04-13,63.7
2021-04-14,70.9
2021-04-15,61.2
2021-04-16,51.8
2021-04-17,54.8
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,46.6
2021-04-22,48.8
2021-04-23,63.2
2021-04-24,70.9
2021-04-25,62.0
2021-04-26,60.9
2021-04-27,61.9
2021-04-28,82.1
2021-04-29,72.6
2021-04-30,68.3
2021-05-01,65.1
2021-05-02,82.5
2021-05-03,74.4
2021-05-04,69.9
2021-05-05,60.0
2021-05-06,66.4
2021-05-07,63.5
2021-05-08,56.7
2021-05-09,63.0
2021-05-10,58.8
2021-05-11,66.4
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,67.5
2021-05-25,71.0
2021-05-26,83.8
2021-05-27,83.4
2021-05-28,75.4
2021-05-29,51.4
2021-05-30,51.0
2021-05-31,70.0
2021-06-01,78.6
2021-06-02,76.6
2021-06-03,71.4
2021-06-04,77.9
2021-06-05,93.8
2021-06-06,94.3
2021-06-07,91.8
2021-06-08,90.5
2021-06-09,92.3
2021-06-10,83.1
2021-06-11,75.1
2021-06-12,70.9
2021-06-13,77.5
2021-06-14,73.9
2021-06-15,82.7
2021-06-16,78.5
2021-06-17,78.8
2021-06-18,85.7
2021-06-19,93.0
2021-06-20,88.9
2021-06-21,86.2
2021-06-22,78.5
2021-06-23,76.5
2021-06-24,78.1
2021-06-25,80.1
2021-06-26,82.2
2021-06-27,86.9
2021-06-28,93.6
2021-06-29,96.2
2021-06-30,98.7
2021-07-01,94.8
2021-07-02,76.7
2021-07-03,71.5
2021-07-04,77.2
2021-07-05,84.4
2021-07-06,97.0
2021-07-07,96.1
2021-07-08,90.0
2021-07-09,86.2
2021-07-10,82.4
2021-07-11,81.2
2021-07-12,87.5
2021-07-13,77.4
2021-07-14,91.2
2021-07-15,92.1
2021-07-16,96.6
2021-07-17,94.7
2021-07-18,86.5
2021-07-19,82.6
2021-07-20,88.1
2021-07-21,84.8
2021-07-22,82.6
2021-07-23,83.3
2021-07-24,83.8
2021-07-25,82.7
2021-07-26,91.1
2021-07-27,90.3
2021-07-28,82.5
2021-07-29,79.3
2021-07-30,84.9
2021-07-31,79.9
2021-08-01,79.2
2021-08-02,82.8
2021-08-03,80.3
2021-08-04,78.8
2021-08-05,80.1
2021-08-06,90.9
2021-08-07,87.6
2021-08-08,80.8
2021-08-09,81.5
2021-08-10,87.5
2021-08-11,92.4
2021-08-12,96.6
2021-08-13,98.3
2021-08-14,90.5
2021-08-15,85.2
2021-08-16,82.4
2021-08-17,79.5
2021-08-18,84.6
2021-08-19,88.5
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,76.0
2021-08-30,86.2
2021-08-31,86.8
2021-09-01,79.2
2021-09-02,76.0
2021-09-03,76.0
2021-09-04,81.5
2021-09-05,75.3
2021-09-06,85.3
2021-09-07,83.1
2021-09-08,82.7
2021-09-09,76.2
2021-09-10,76.7
2021-09-11,79.4
2021-09-12,85.7
2021-09-13,86.4
2021-09-14,83.5
2021-09-15,88.2
2021-09-16,81.0
2021-09-17,75.6
2021-09-18,85.6
2021-09-19,79.1
2021-09-20,74.2
2021-09-21,74.0
2021-09-22,80.2
2021-09-23,81.9
2021-09-24,73.5
2021-09-25,77.3
2021-09-26,74.5
2021-09-27,81.6
2021-09-28,74.8
2021-09-29,70.0
2021-09-30,65.6
2021-10-01,68.5
2021-10-02,76.7
2021-10-03,80.5
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,66.8
2021-10-11,72.6
2021-10-12,71.1
2021-10-13,69.5
2021-10-14,78.6
2021-10-15,80.4
2021-10-16,76.4
2021-10-17,68.4
2021-10-18,60.4
2021-10-19,68.9
2021-10-20,78.4
2021-10-21,76.6
2021-10-22,70.5
2021-10-23,63.2
2021-10-24,62.3
2021-10-25,72.2
2021-10-26,67.4
2021-10-27,60.5
2021-10-28,58.2
2021-10-29,56.4
2021-10-30,64.8
2021-10-31,65.4
2021-11-01,62.4
2021-11-02,55.4
2021-11-03,54.5
2021-11-04,52.3
2021-11-05,53.7
2021-11-06,53.7
2021-11-07,56.0
2021-11-08,66.1
2021-11-09,71.7
2021-11-10,67.0
2021-11-11,60.9
2021-11-12,65.5
2021-11-13,62.2
2021-11-14,49.1
2021-11-15,48.8
2021-11-16,49.7
2021-11-17,54.9
2021-11-18,67.0
2021-11-19,63.4
2021-11-20,46.8
2021-11-21,55.1
2021-11-22,54.6
