date,nwp_tmax_openmeteo
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,55.2
2021-01-06,54.7
2021-01-07,57.9
2021-01-08,58.0
2021-01-09,59.9
2021-01-10,58.3
2021-01-11,59.8
2021-01-12,59.0
2021-01-13,65.3
2021-01-14,68.5
2021-01-15,67.9
2021-01-16,69.2
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,53.8
2021-01-30,57.0
2021-01-31,61.2
2021-02-01,61.3
2021-02-02,59.5
2021-02-03,56.2
2021-02-04,59.9
2021-02-05,64.2
2021-02-06,67.5
2021-02-07,65.6
2021-02-08,61.8
2021-02-09,57.9
2021-02-10,60.2
2021-02-11,58.7
2021-02-12,57.4
2021-02-13,58.5
2021-02-14,56.2
2021-02-15,56.0
2021-02-16,56.2
2021-02-17,63.3
2021-02-18,63.5
2021-02-19,64.4
2021-02-20,58.8
2021-02-21,62.8
2021-02-22,69.9
2021-02-23,77.9
2021-02-24,72.3
2021-02-25,69.4
2021-02-26,63.9
2021-02-27,61.0
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,57.2
2021-03-07,58.6
2021-03-08,58.0
2021-03-09,57.6
2021-03-10,55.2
2021-03-11,56.5
2021-03-12,63.7
2021-03-13,61.9
2021-03-14,57.1
2021-03-15,54.4
2021-03-16,55.7
2021-03-17,54.4
2021-03-18,56.7
2021-03-19,60.6
2021-03-20,58.3
2021-03-21,61.6
2021-03-22,60.5
2021-03-23,67.4
2021-03-24,67.1
2021-03-25,57.5
2021-03-26,65.3
2021-03-27,70.8
2021-03-28,70.5
2021-03-29,65.7
2021-03-30,75.3
2021-03-31,79.4
2021-04-01,83.3
2021-04-02,78.6
2021-04-03,59.7
2021-04-04,59.0
2021-04-05,57.3
2021-04-06,59.8
2021-04-07,57.6
2021-04-08,60.6
2021-04-09,58.5
2021-04-10,63.2
2021-04-11,67.5
2021-04-12,66.4
2021-04-13,63.2
2021-04-14,68.9
2021-04-15,63.9
2021-04-16,60.0
2021-04-17,63.3
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,56.8
2021-04-22,58.1
2021-04-23,59.1
2021-04-24,64.3
2021-04-25,60.3
2021-04-26,59.5
2021-04-27,68.1
2021-04-28,81.3
2021-04-29,69.1
2021-04-30,62.7
2021-05-01,59.7
2021-05-02,65.8
2021-05-03,76.7
2021-05-04,75.0
2021-05-05,70.9
2021-05-06,61.7
2021-05-07,62.0
2021-05-08,71.7
2021-05-09,66.0
2021-05-10,73.9
2021-05-11,76.6
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,65.0
2021-05-25,63.0
2021-05-26,67.2
2021-05-27,65.1
2021-05-28,65.7
2021-05-29,61.5
2021-05-30,71.5
2021-05-31,85.5
2021-06-01,78.8
2021-06-02,68.9
2021-06-03,74.4
2021-06-04,67.8
2021-06-05,66.9
2021-06-06,62.4
2021-06-07,60.6
2021-06-08,61.7
2021-06-09,61.1
2021-06-10,62.9
2021-06-11,69.6
2021-06-12,76.6
2021-06-13,73.8
2021-06-14,69.8
2021-06-15,73.2
2021-06-16,83.1
2021-06-17,76.1
2021-06-18,80.6
2021-06-19,75.3
2021-06-20,71.2
2021-06-21,67.8
2021-06-22,68.1
2021-06-23,70.6
2021-06-24,70.7
2021-06-25,70.5
2021-06-26,69.2
2021-06-27,67.4
2021-06-28,68.2
2021-06-29,69.8
2021-06-30,69.6
2021-07-01,72.9
2021-07-02,71.8
2021-07-03,70.4
2021-07-04,73.2
2021-07-05,68.8
2021-07-06,65.8
2021-07-07,64.0
2021-07-08,74.6
2021-07-09,75.5
2021-07-10,73.2
2021-07-11,69.9
2021-07-12,63.5
2021-07-13,62.4
2021-07-14,68.1
2021-07-15,64.7
2021-07-16,67.4
2021-07-17,74.3
2021-07-18,80.4
2021-07-19,75.7
2021-07-20,67.4
2021-07-21,68.8
2021-07-22,67.6
2021-07-23,83.4
2021-07-24,78.7
2021-07-25,79.7
2021-07-26,76.4
2021-07-27,78.3
2021-07-28,76.6
2021-07-29,77.1
2021-07-30,75.2
2021-07-31,71.4
2021-08-01,70.1
2021-08-02,72.1
2021-08-03,69.4
2021-08-04,68.0
2021-08-05,66.2
2021-08-06,74.1
2021-08-07,72.5
2021-08-08,71.4
2021-08-09,73.0
2021-08-10,76.1
2021-08-11,76.3
2021-08-12,72.9
2021-08-13,71.4
2021-08-14,74.1
2021-08-15,73.8
2021-08-16,73.3
2021-08-17,68.7
2021-08-18,78.4
2021-08-19,71.9
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,79.4
2021-08-30,77.3
2021-08-31,76.0
2021-09-01,73.8
2021-09-02,68.7
2021-09-03,69.6
2021-09-04,78.7
2021-09-05,81.6
2021-09-06,89.4
2021-09-07,79.3
2021-09-08,85.7
2021-09-09,73.6
2021-09-10,68.6
2021-09-11,67.2
2021-09-12,75.7
2021-09-13,70.1
2021-09-14,76.2
2021-09-15,70.5
2021-09-16,69.3
2021-09-17,70.5
2021-09-18,70.4
2021-09-19,70.2
2021-09-20,88.0
2021-09-21,92.5
2021-09-22,91.1
2021-09-23,83.9
2021-09-24,77.7
2021-09-25,71.1
2021-09-26,65.5
2021-09-27,69.1
2021-09-28,72.5
2021-09-29,75.0
2021-09-30,85.6
2021-10-01,86.7
2021-10-02,87.7
2021-10-03,90.1
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,73.6
2021-10-11,66.7
2021-10-12,67.5
2021-10-13,62.3
2021-10-14,73.7
2021-10-15,79.5
2021-10-16,84.4
2021-10-17,82.2
2021-10-18,61.9
2021-10-19,66.9
2021-10-20,66.1
2021-10-21,68.7
2021-10-22,66.1
2021-10-23,63.5
2021-10-24,61.0
2021-10-25,61.2
2021-10-26,62.9
2021-10-27,68.3
2021-10-28,73.2
2021-10-29,71.4
2021-10-30,64.1
2021-10-31,61.5
2021-11-01,62.2
2021-11-02,66.6
2021-11-03,69.6
2021-11-04,68.5
2021-11-05,62.9
2021-11-06,63.3
2021-11-07,62.4
2021-11-08,62.0
2021-11-09,64.5
2021-11-10,65.1
2021-11-11,68.8
2021-11-12,70.0
2021-11-13,71.4
2021-11-14,68.7
2021-11-15,65.1
2021-11-16,64.3
2021-11-17,64.5
2021-11-18,64.0
2021-11-19,60.6
2021-11-20,65.2
2021-11-21,67.4
2021-11-22,67.6
