date,nwp_tmax_openmeteo
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,45.0
2021-01-06,48.5
2021-01-07,46.9
2021-01-08,45.9
2021-01-09,44.1
2021-01-10,47.8
2021-01-11,46.5
2021-01-12,53.7
2021-01-13,55.1
2021-01-14,52.1
2021-01-15,51.1
2021-01-16,49.7
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,44.9
2021-01-30,47.0
2021-01-31,45.9
2021-02-01,48.7
2021-02-02,47.9
2021-02-03,45.7
2021-02-04,44.9
2021-02-05,49.2
2021-02-06,48.0
2021-02-07,46.9
2021-02-08,42.5
2021-02-09,41.1
2021-02-10,40.2
2021-02-11,39.9
2021-02-12,32.2
2021-02-13,30.8
2021-02-14,33.8
2021-02-15,41.8
2021-02-16,47.8
2021-02-17,47.2
2021-02-18,44.8
2021-02-19,45.6
2021-02-20,46.7
2021-02-21,48.1
2021-02-22,49.7
2021-02-23,49.4
2021-02-24,44.1
2021-02-25,45.1
2021-02-26,47.3
2021-02-27,46.1
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,47.5
2021-03-07,45.1
2021-03-08,49.7
2021-03-09,51.6
2021-03-10,50.7
2021-03-11,53.3
2021-03-12,55.5
2021-03-13,59.2
2021-03-14,60.4
2021-03-15,44.7
2021-03-16,49.0
2021-03-17,55.9
2021-03-18,55.4
2021-03-19,53.2
2021-03-20,52.5
2021-03-21,48.3
2021-03-22,48.0
2021-03-23,51.6
2021-03-24,50.0
2021-03-25,50.0
2021-03-26,50.7
2021-03-27,57.5
2021-03-28,56.4
2021-03-29,49.4
2021-03-30,53.9
2021-03-31,60.4
2021-04-01,59.6
2021-04-02,57.8
2021-04-03,61.6
2021-04-04,60.9
2021-04-05,54.7
2021-04-06,58.7
2021-04-07,59.2
2021-04-08,52.1
2021-04-09,51.9
2021-04-10,49.2
2021-04-11,52.1
2021-04-12,57.8
2021-04-13,63.6
2021-04-14,65.5
2021-04-15,74.1
2021-04-16,77.2
2021-04-17,77.4
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,72.3
2021-04-22,70.8
2021-04-23,62.6
2021-04-24,58.6
2021-04-25,57.0
2021-04-26,59.3
2021-04-27,59.8
2021-04-28,64.1
2021-04-29,72.8
2021-04-30,73.3
2021-05-01,62.3
2021-05-02,60.6
2021-05-03,60.8
2021-05-04,60.8
2021-05-05,69.0
2021-05-06,68.0
2021-05-07,53.4
2021-05-08,57.2
2021-05-09,61.5
2021-05-10,64.4
2021-05-11,68.0
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,58.9
2021-05-25,61.2
2021-05-26,63.8
2021-05-27,62.5
2021-05-28,61.4
2021-05-29,70.6
2021-05-30,71.7
2021-05-31,78.1
2021-06-01,85.1
2021-06-02,84.8
2021-06-03,84.6
2021-06-04,75.4
2021-06-05,67.2
2021-06-06,53.2
2021-06-07,60.8
2021-06-08,68.3
2021-06-09,67.2
2021-06-10,66.2
2021-06-11,65.3
2021-06-12,73.1
2021-06-13,71.5
2021-06-14,61.7
2021-06-15,64.9
2021-06-16,70.7
2021-06-17,76.6
2021-06-18,76.1
2021-06-19,78.2
2021-06-20,79.8
2021-06-21,89.6
2021-06-22,88.7
2021-06-23,81.5
2021-06-24,80.8
2021-06-25,86.2
2021-06-26,99.0
2021-06-27,100.2
2021-06-28,110.0
2021-06-29,105.8
2021-06-30,83.8
2021-07-01,72.6
2021-07-02,76.5
2021-07-03,80.9
2021-07-04,81.5
2021-07-05,82.4
2021-07-06,85.4
2021-07-07,83.1
2021-07-08,78.2
2021-07-09,82.5
2021-07-10,85.4
2021-07-11,84.3
2021-07-12,85.1
2021-07-13,87.8
2021-07-14,86.5
2021-07-15,78.9
2021-07-16,73.5
2021-07-17,75.3
2021-07-18,77.8
2021-07-19,80.4
2021-07-20,80.7
2021-07-21,70.4
2021-07-22,74.4
2021-07-23,77.3
2021-07-24,82.1
2021-07-25,82.0
2021-07-26,82.5
2021-07-27,81.7
2021-07-28,85.3
2021-07-29,88.3
2021-07-30,90.6
2021-07-31,89.7
2021-08-01,87.8
2021-08-02,87.8
2021-08-03,87.4
2021-08-04,87.6
2021-08-05,88.5
2021-08-06,86.3
2021-08-07,79.3
2021-08-08,74.1
2021-08-09,78.0
2021-08-10,82.0
2021-08-11,88.9
2021-08-12,91.7
2021-08-13,92.6
2021-08-14,90.4
2021-08-15,83.8
2021-08-16,80.5
2021-08-17,74.2
2021-08-18,81.1
2021-08-19,81.8
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,76.4
2021-08-30,76.7
2021-08-31,65.1
2021-09-01,69.9
2021-09-02,75.9
2021-09-03,76.2
2021-09-04,77.7
2021-09-05,78.0
2021-09-06,77.2
2021-09-07,78.5
2021-09-08,79.3
2021-09-09,78.5
2021-09-10,78.7
2021-09-11,76.1
2021-09-12,74.3
2021-09-13,71.2
2021-09-14,69.0
2021-09-15,68.1
2021-09-16,66.8
2021-09-17,65.0
2021-09-18,64.4
2021-09-19,59.6
2021-09-20,66.4
2021-09-21,74.9
2021-09-22,74.5
2021-09-23,68.0
2021-09-24,74.0
2021-09-25,76.7
2021-09-26,76.2
2021-09-27,59.5
2021-09-28,59.9
2021-09-29,59.1
2021-09-30,59.7
2021-10-01,60.5
2021-10-02,64.5
2021-10-03,64.0
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-09,
2021-10-10,53.2
2021-10-11,51.3
2021-10-12,51.0
2021-10-13,51.3
2021-10-14,57.4
2021-10-15,59.5
2021-10-16,65.4
2021-10-17,63.5
2021-10-18,54.2
2021-10-19,60.4
2021-10-20,58.8
2021-10-21,68.0
2021-10-22,64.5
2021-10-23,54.3
2021-10-24,55.5
2021-10-25,55.1
2021-10-26,52.4
2021-10-27,55.0
2021-10-28,58.2
2021-10-29,56.3
2021-10-30,50.2
2021-10-31,56.3
2021-11-01,53.7
2021-11-02,49.8
2021-11-03,56.6
2021-11-04,55.8
2021-11-05,51.5
2021-11-06,48.7
2021-11-07,45.2
2021-11-08,53.1
2021-11-09,50.2
2021-11-10,51.0
2021-11-11,50.6
2021-11-12,57.5
2021-11-13,52.1
2021-11-14,59.0
2021-11-15,58.9
2021-11-16,48.6
2021-11-17,47.1
2021-11-18,48.0
2021-11-19,44.8
2021-11-20,47.4
2021-11-21,47.4
2021-11-22,45.6
