city,date,winning_bucket,condition_id
atlanta,2026-03-24,<=59,0x6eb9a9bc3c161228773f67761d2cf237ee5e3c804d123603396ab0907e5853f8
atlanta,2026-03-25,<=39,0x9ddd56ecff94fbf3ee12e0b2823556dffe4ec63e0a1975f8abe3836f05f64473
atlanta,2026-03-26,<=71,0x02a1d09ec5ebd7514758d84da4f3bdebe65044504f17d4d93caa82f9188c11f7
atlanta,2026-03-27,<=73,0x88e937a30140a55e4b1092dfc71d97f60096d3d9c03ee75271e1b474b608d4d9
atlanta,2026-03-28,<=55,0x6f5f3d7ef8a4a9530637fed9b7bc1899c24360764074658f55451180fcfc28a5
atlanta,2026-05-20,90-91,0xa1c6cb415cfa0c374d44efe0f463aaf41421ad0911037a188a786bb62fda7e1b
austin,2026-03-24,<=79,0x23d4044743eba6654634fa82a735eef603f796bb617af8da741862de7f2ac43c
austin,2026-03-25,<=83,0xebf95cd17dd9f7bfcaff4d487c942d5390879ab947482f27a689f46f2a7b368e
austin,2026-03-26,<=81,0x2423a13aa82406fc798486bd293e01a9a3fec897b1ea2d8971c03be836e7da1a
austin,2026-03-27,<=75,0x1ac6a775463f8e5b2d3c9cb0e753efc463dae3b62da2ebc6139dc926fc87bab3
austin,2026-05-21,<=73,0x044d11f1621df7cf6423130a5554852ad8b225022c2d0ac418d6e08149393a10
chicago,2026-03-24,<=37,0x463fa129fbe5c2beb6ac75727703c80c9da2e83113c339da3dc3caf94c0cffae
chicago,2026-03-25,<=49,0xcc73752044cc504b7f86f776656f666909cd33c7d0424c2eed88d5500d4ec55d
chicago,2026-03-26,<=59,0x47cf273dce7993f3137b505cc706133ce040043940805a4062fddf8b4163a09d
chicago,2026-03-27,<=33,0xd0778534272708556c724a8fe7619c95bc7fc4abb952017aee418374a20c33e2
chicago,2026-03-28,<=43,0x9813c26c3837dfe5ce216a38563cb73257e15622c2578ed9999312e1a08a1b6a
dallas,2026-03-24,<=77,0xf979ddfda9ee2423dcb92a8feb991128b90a15dc0a3659d6b9b759e6d595207c
