city,station,lat,lon,timezone,cli_available,asos_available,mos_available,ecmwf_available,gfs_available,has_trained_model,model_city_name,data_quality_tier
amsterdam,,,,,False,False,False,False,False,False,,Tier 4
ankara,,,,,False,False,False,False,False,False,,Tier 4
atlanta,KATL,33.6407,-84.4277,America/New_York,True,True,True,True,True,False,,Tier 2
austin,KAUS,30.1945,-97.6699,America/Chicago,True,True,True,True,True,True,austin,Tier 1
beijing,,,,,False,False,False,False,False,False,,Tier 4
buenos_aires,,,,,False,False,False,False,False,False,,Tier 4
busan,,,,,False,False,False,False,False,False,,Tier 4
cape_town,,,,,False,False,False,False,False,False,,Tier 4
chengdu,,,,,False,False,False,False,False,False,,Tier 4
chicago_midway,KMDW,41.7861,-87.7522,America/Chicago,True,True,True,True,True,True,chicago_midway,Tier 1
chongqing,,,,,False,False,False,False,False,False,,Tier 4
dallas,KDFW,32.8998,-97.0403,America/Chicago,True,True,True,True,True,False,,Tier 2
denver,KDEN,39.8561,-104.6737,America/Denver,True,True,True,True,True,False,,Tier 2
guangzhou,,,,,False,False,False,False,False,False,,Tier 4
helsinki,,,,,False,False,False,False,False,False,,Tier 4
hong_kong,,,,,False,False,False,False,False,False,,Tier 4
houston,KIAH,29.9844,-95.3414,America/Chicago,True,True,True,True,True,True,houston,Tier 1
istanbul,,,,,False,False,False,False,False,False,,Tier 4
jakarta,,,,,False,False,False,False,False,False,,Tier 4
jeddah,,,,,False,False,False,False,False,False,,Tier 4
jinan,,,,,False,False,False,False,False,False,,Tier 4
karachi,,,,,False,False,False,False,False,False,,Tier 4
kuala_lumpur,,,,,False,False,False,False,False,False,,Tier 4
lagos,,,,,False,False,False,False,False,False,,Tier 4
london,,,,,False,False,False,False,False,False,,Tier 4
los_angeles,KLAX,33.9382,-118.3886,America/Los_Angeles,True,True,True,True,True,True,los_angeles,Tier 1
lucknow,,,,,False,False,False,False,False,False,,Tier 4
madrid,,,,,False,False,False,False,False,False,,Tier 4
manila,,,,,False,False,False,False,False,False,,Tier 4
mexico_city,,,,,False,False,False,False,False,False,,Tier 4
miami,KMIA,25.7959,-80.287,America/New_York,True,True,True,True,True,False,,Tier 2
milan,,,,,False,False,False,False,False,False,,Tier 4
moscow,,,,,False,False,False,False,False,False,,Tier 4
munich,,,,,False,False,False,False,False,False,,Tier 4
new_york_city,KLGA,40.7769,-73.874,America/New_York,True,True,True,True,True,True,new_york_city,Tier 1
panama_city,,,,,False,False,False,False,False,False,,Tier 4
paris,,,,,False,False,False,False,False,False,,Tier 4
qingdao,,,,,False,False,False,False,False,False,,Tier 4
san_francisco,KSFO,37.6197,-122.3647,America/Los_Angeles,True,True,True,True,True,True,san_francisco,Tier 1
sao_paulo,,,,,False,False,False,False,False,False,,Tier 4
seattle,KSEA,47.4502,-122.3088,America/Los_Angeles,True,True,True,True,True,False,,Tier 2
seoul,,,,,False,False,False,False,False,False,,Tier 4
shanghai,,,,,False,False,False,False,False,False,,Tier 4
shenzhen,,,,,False,False,False,False,False,False,,Tier 4
singapore,,,,,False,False,False,False,False,False,,Tier 4
taipei,,,,,False,False,False,False,False,False,,Tier 4
tel_aviv,,,,,False,False,False,False,False,False,,Tier 4
tokyo,,,,,False,False,False,False,False,False,,Tier 4
toronto,,,,,False,False,False,False,False,False,,Tier 4
warsaw,,,,,False,False,False,False,False,False,,Tier 4
wellington,,,,,False,False,False,False,False,False,,Tier 4
wuhan,,,,,False,False,False,False,False,False,,Tier 4
zhengzhou,,,,,False,False,False,False,False,False,,Tier 4
