event_id,event_slug,event_title,city,event_date,n_buckets,bucket_width,min_bucket,max_bucket,neg_risk,total_volume,created_at,accepting_orders
128661,highest-temperature-in-nyc-on-december-30,Highest temperature in NYC on December 30?,new_york_city,2025-12-30,7,2.0,28.0,37.0,True,154039.44891399998,2025-12-28T11:00:18.863842Z,False
128662,highest-temperature-in-dallas-on-december-30,Highest temperature in Dallas on December 30?,dallas,2025-12-30,7,2.0,52.0,61.0,True,11395.661264999999,2025-12-28T11:00:21.762588Z,False
128663,highest-temperature-in-atlanta-on-december-30,Highest temperature in Atlanta on December 30?,atlanta,2025-12-30,7,2.0,38.0,47.0,True,13771.609584000002,2025-12-28T11:00:24.691808Z,False
130721,highest-temperature-in-atlanta-on-december-31,Highest temperature in Atlanta on December 31?,atlanta,2025-12-31,7,2.0,44.0,53.0,True,24105.376479000002,2025-12-29T11:00:25.341063Z,False
130710,highest-temperature-in-london-on-december-31,Highest temperature in London on December 31?,london,2025-12-31,7,,,,True,202952.206581,2025-12-29T11:00:01.187045Z,False
130715,highest-temperature-in-buenos-aires-on-december-31,Highest temperature in Buenos Aires on December 31?,buenos_aires,2025-12-31,7,,,,True,20875.470438000004,2025-12-29T11:00:07.06779Z,False
130716,highest-temperature-in-seoul-on-december-31,Highest temperature in Seoul on December 31?,seoul,2025-12-31,7,,,,True,57957.764536999995,2025-12-29T11:00:10.676489Z,False
130717,highest-temperature-in-toronto-on-december-31,Highest temperature in Toronto on December 31?,toronto,2025-12-31,7,,,,True,12018.667173,2025-12-29T11:00:13.593761Z,False
130718,highest-temperature-in-seattle-on-december-31,Highest temperature in Seattle on December 31?,seattle,2025-12-31,7,2.0,42.0,51.0,True,30874.183054,2025-12-29T11:00:16.635801Z,False
130719,highest-temperature-in-nyc-on-december-31,Highest temperature in NYC on December 31?,new_york_city,2025-12-31,7,2.0,28.0,37.0,True,151995.7073,2025-12-29T11:00:19.547109Z,False
130720,highest-temperature-in-dallas-on-december-31,Highest temperature in Dallas on December 31?,dallas,2025-12-31,7,2.0,60.0,69.0,True,21623.382942999997,2025-12-29T11:00:22.498117Z,False
132832,highest-temperature-in-atlanta-on-january-1,Highest temperature in Atlanta on January 1?,atlanta,2026-01-01,7,2.0,50.0,59.0,True,54344.615230999996,2025-12-30T11:00:21.825899Z,False
132831,highest-temperature-in-dallas-on-january-1,Highest temperature in Dallas on January 1?,dallas,2026-01-01,7,2.0,66.0,75.0,True,24806.570911000003,2025-12-30T11:00:18.98094Z,False
132830,highest-temperature-in-nyc-on-january-1,Highest temperature in NYC on January 1?,new_york_city,2026-01-01,7,2.0,24.0,33.0,True,35662.130344000005,2025-12-30T11:00:16.087628Z,False
132829,highest-temperature-in-seattle-on-january-1,Highest temperature in Seattle on January 1?,seattle,2026-01-01,7,2.0,42.0,51.0,True,38717.235782,2025-12-30T11:00:13.175886Z,False
132827,highest-temperature-in-seoul-on-january-1,Highest temperature in Seoul on January 1?,seoul,2026-01-01,7,,,,True,26004.571135000002,2025-12-30T11:00:07.247868Z,False
132826,highest-temperature-in-buenos-aires-on-january-1,Highest temperature in Buenos Aires on January 1?,buenos_aires,2026-01-01,7,,,,True,26559.446249,2025-12-30T11:00:04.362605Z,False
132823,highest-temperature-in-london-on-january-1,Highest temperature in London on January 1?,london,2026-01-01,7,,,,True,89581.382954,2025-12-30T11:00:01.417072Z,False
132828,highest-temperature-in-toronto-on-january-1,Highest temperature in Toronto on January 1?,toronto,2026-01-01,7,,,,True,48900.355204,2025-12-30T11:00:10.271487Z,False
211541,highest-temperature-in-chicago-on-february-18-2026,Highest temperature in Chicago on February 18?,chicago_midway,2026-02-18,9,2.0,58.0,71.0,True,126886.378008,2026-02-16T11:00:52.45799Z,False
211539,highest-temperature-in-atlanta-on-february-18-2026,Highest temperature in Atlanta on February 18?,atlanta,2026-02-18,9,2.0,54.0,67.0,True,143063.296634,2026-02-16T11:00:43.525648Z,False
211540,highest-temperature-in-miami-on-february-18-2026,Highest temperature in Miami on February 18?,miami,2026-02-18,9,2.0,70.0,83.0,True,109353.20402,2026-02-16T11:00:47.727588Z,False
211538,highest-temperature-in-dallas-on-february-18-2026,Highest temperature in Dallas on February 18?,dallas,2026-02-18,9,2.0,68.0,81.0,True,148958.722247,2026-02-16T11:00:39.374907Z,False
211543,highest-temperature-in-wellington-on-february-18-2026,Highest temperature in Wellington on February 18?,wellington,2026-02-18,9,,,,True,171563.380994,2026-02-16T11:01:00.469767Z,False
211536,highest-temperature-in-seattle-on-february-18-2026,Highest temperature in Seattle on February 18?,seattle,2026-02-18,9,2.0,36.0,49.0,True,155069.832242,2026-02-16T11:00:31.237707Z,False
211535,highest-temperature-in-toronto-on-february-18-2026,Highest temperature in Toronto on February 18?,toronto,2026-02-18,9,,,,True,106054.60310000001,2026-02-16T11:00:27.117043Z,False
211542,highest-temperature-in-ankara-on-february-18-2026,Highest temperature in Ankara on February 18?,ankara,2026-02-18,9,,,,True,217165.78025899996,2026-02-16T11:00:56.479048Z,False
211537,highest-temperature-in-nyc-on-february-18-2026,Highest temperature in NYC on February 18?,new_york_city,2026-02-18,9,2.0,32.0,45.0,True,240349.074872,2026-02-16T11:00:35.316339Z,False
211531,highest-temperature-in-sao-paulo-on-february-18-2026,Highest temperature in Sao Paulo on February 18?,sao_paulo,2026-02-18,9,,,,True,62735.184251000006,2026-02-16T11:00:13.552113Z,False
211533,highest-temperature-in-buenos-aires-on-february-18-2026,Highest temperature in Buenos Aires on February 18?,buenos_aires,2026-02-18,9,,,,True,85098.816934,2026-02-16T11:00:17.724482Z,False
211510,highest-temperature-in-london-on-february-18-2026,Highest temperature in London on February 18?,london,2026-02-18,9,,,,True,287269.87228600006,2026-02-16T11:00:02.242906Z,False
211521,highest-temperature-in-paris-on-february-18-2026,Highest temperature in Paris on February 18?,paris,2026-02-18,9,,,,True,162456.001994,2026-02-16T11:00:09.302318Z,False
211534,highest-temperature-in-seoul-on-february-18-2026,Highest temperature in Seoul on February 18?,seoul,2026-02-18,9,,,,True,271542.32369399996,2026-02-16T11:00:22.637496Z,False
212717,highest-temperature-in-toronto-on-february-19-2026,Highest temperature in Toronto on February 19?,toronto,2026-02-19,9,,,,True,72397.410121,2026-02-17T11:00:28.584231Z,False
212725,highest-temperature-in-wellington-on-february-19-2026,Highest temperature in Wellington on February 19?,wellington,2026-02-19,9,,,,True,163473.61583900003,2026-02-17T11:01:03.856392Z,False
212723,highest-temperature-in-chicago-on-february-19-2026,Highest temperature in Chicago on February 19?,chicago_midway,2026-02-19,9,2.0,40.0,53.0,True,81061.6029,2026-02-17T11:00:55.073273Z,False
212722,highest-temperature-in-miami-on-february-19-2026,Highest temperature in Miami on February 19?,miami,2026-02-19,9,2.0,76.0,89.0,True,224250.40831400003,2026-02-17T11:00:50.880462Z,False
212718,highest-temperature-in-seattle-on-february-19-2026,Highest temperature in Seattle on February 19?,seattle,2026-02-19,9,2.0,36.0,49.0,True,74243.110659,2026-02-17T11:00:32.747996Z,False
212721,highest-temperature-in-atlanta-on-february-19-2026,Highest temperature in Atlanta on February 19?,atlanta,2026-02-19,9,2.0,64.0,77.0,True,64759.741453,2026-02-17T11:00:46.627238Z,False
212719,highest-temperature-in-nyc-on-february-19-2026,Highest temperature in NYC on February 19?,new_york_city,2026-02-19,9,2.0,32.0,45.0,True,251606.503372,2026-02-17T11:00:38.186868Z,False
212699,highest-temperature-in-london-on-february-19-2026,Highest temperature in London on February 19?,london,2026-02-19,9,,,,True,237774.323359,2026-02-17T11:00:01.342574Z,False
212711,highest-temperature-in-paris-on-february-19-2026,Highest temperature in Paris on February 19?,paris,2026-02-19,9,,,,True,44940.821588,2026-02-17T11:00:09.686567Z,False
212714,highest-temperature-in-sao-paulo-on-february-19-2026,Highest temperature in Sao Paulo on February 19?,sao_paulo,2026-02-19,9,,,,True,33309.799551000004,2026-02-17T11:00:13.979373Z,False
212715,highest-temperature-in-buenos-aires-on-february-19-2026,Highest temperature in Buenos Aires on February 19?,buenos_aires,2026-02-19,9,,,,True,105273.05420599999,2026-02-17T11:00:18.314611Z,False
212716,highest-temperature-in-seoul-on-february-19-2026,Highest temperature in Seoul on February 19?,seoul,2026-02-19,9,,,,True,196098.861507,2026-02-17T11:00:24.354592Z,False
